year_month_day,trade_count,trade_revenue_xtz,primary_revenue_xtz,secondary_revenue_xtz,unique_sellers,unique_collectors
2021-08-26,16175.0,169654.1027069997,69924.17843800002,99729.92426899975,2274.0,2466.0
2021-08-27,13278.0,203200.19934400095,79303.54886600074,123896.6504780001,2044.0,2152.0
2021-08-28,15063.0,178134.95580599934,90123.27100600013,88011.68479999958,2087.0,2197.0
2021-08-29,18062.0,203644.03768300207,80866.36410499996,122777.67357800012,2383.0,2432.0
2021-08-30,16739.0,191750.91179200442,80263.70367199958,111487.20811999986,2450.0,2674.0
2021-08-31,16706.0,143215.66671500143,71040.34014499925,72175.3265700001,2456.0,2894.0
2021-09-01,18369.0,165705.708088003,75992.15460900057,89713.5534790001,2681.0,3092.0
2021-09-02,21205.0,81117.41505199984,53876.88188199915,27240.533170000064,2506.0,3438.0
2021-09-03,17213.0,78888.9474200003,44783.54009099977,34105.40732900014,2519.0,3194.0
2021-09-04,12362.0,74008.44152699981,49221.632026999825,24786.80950000002,2207.0,2622.0
2021-09-05,16696.0,111671.0448089993,68749.05852899964,42921.986280000085,2409.0,2915.0
2021-09-06,11320.0,62158.13046699993,33765.43967899976,28392.69078800009,2123.0,2546.0
